MIC,Investment Code,ISIN,Currency,Investment Name,Investment Type,Exchange,Comment,Issued Shares,Start trading date
XBSE,2P,ROZMYY1W6LM9,RON,2Performant Network SA,Equity,ROBSE,Market : XRS1,"13,033,043",12/9/2020
XBSE,AAB,ROJ1IZXEYIU6,RON,Agroland Agribusiness,Equity,ROBSE,Market : XRS1,"5,625,000",6/15/2021
XBSE,AAG,ROAAGEACNOR7,RON,S.C Aages S.A.,Equity,ROBSE,Market : REGS,"10,000,000",6/19/2017
XBSE,ADISS,ROL8TEGLBRX2,RON,Adiss SA,Equity,ROBSE,Market : XRS1,"16,980,000",8/9/2021
XBSE,AG,RO3UHXXNWZE0,RON,Agroland Business System SA,Equity,ROBSE,Market : XRS1,"88,044,014",1/3/2021
XBSE,ALR,ROALROACNOR0,RON,Alro Slatina,Equity,ROBSE,Market : REGS,"713,779,135",10/16/1997
XBSE,ALU,ROALUMACNOR8,RON,Alumil Rom Industry S.A,Equity,ROBSE,Market : REGS,"31,250,000",4/16/2007
XBSE,ALW,RODHGCP0NGX5,RON,Visual Fan,Equity,ROBSE,Market : XRS1,"6,666,600",7/26/2021
XBSE,AQ,RO7066ZEA1R9,RON,Aquila Part Prod Com,Equity,ROBSE,Market : REGS,"1,200,002,400",11/29/2021
XBSE,ARAX,ROARAXACNOR4,RON,Armax Gaz,Equity,ROBSE,Market : XRS1,"6,141,798",11/22/1996
XBSE,ARM,ROARMAACNOR7,RON,Armatura Cluj Napoca,Equity,ROBSE,Market : REGS,"40,000,000",2/20/1997
XBSE,ARO,ROPOSTACNOR9,RON,Aro-Palace SA Brasov,Equity,ROBSE,Market : XRS1,"403,201,571",7/31/2017
XBSE,AROBS,ROWMR49B0RG5,RON,Arobs Transilvania Software,Equity,ROBSE,Market : XRS1,"911,394,988",6/12/2021
XBSE,ARS,ROAEROACNOR5,RON,Aerostar,Equity,ROBSE,Market : REGS,"152,277,450",10/2/1998
XBSE,ARTE,ROARTEACNOR4,RON,Artego SA,Equity,ROBSE,Market : REGS,"8,114,746",3/24/1998
XBSE,ASC,ROASCIACNOR9,RON,Ascendia SA,Equity,ROBSE,Market : XRS1,"11,721,801",7/7/2016
XBSE,AST,ROD6RWU7GIX9,RON,Arctic Stream SA,Equity,ROBSE,Market : XRS1,"4,191,300",7/29/2021
XBSE,ATB,ROATBIACNOR9,RON,Antibiotice Iasi,Equity,ROBSE,Market : REGS,"671,338,040",4/16/1997
XBSE,BENTO,ROQKJ0LFIS51,RON,2B Intelligent Soft,Equity,ROBSE,Market : XRS1,"13,200,000",3/16/2022
XBSE,BIO,ROBIOFACNOR9,RON,Biofarm,Equity,ROBSE,Market : REGS,"985,375,350",11/19/1996
XBSE,BIOW,ROI91OMWY430,RON,Vifrana SA,Equity,ROBSE,Market : XRS1,"50,218,357",5/14/2021
XBSE,BNET,ROBNETACNOR1,RON,Bittnet Systems SA Bucuresti,Equity,ROBSE,Market : REGS,"634,176,714",4/15/2015
XBSE,BONA,ROP96R6D57V1,RON,Bonas Import Export SA,Equity,ROBSE,Market : XRS1,"11,797,276",6/24/2021
XBSE,BRD,ROBRDBACNOR2,RON,BRD-Groupe Societe Generale,Equity,ROBSE,Market : REGS,"696,901,518",1/15/2001
XBSE,BRK,ROBRKOACNOR0,RON,SSIF BRK Financial Group S.A.,Equity,ROBSE,Market : REGS,"337,429,952",5/2/2005
XBSE,BRM,ROBEMAACNOR3,RON,Bermas Suceava,Equity,ROBSE,Market : REGS,"21,553,049",4/16/1998
XBSE,BRNA,ROBRNAACNOR3,RON,Romnav,Equity,ROBSE,Market : XRS1,"2,171,789",12/18/1997
XBSE,BVB,ROBVBAACNOR0,RON,Bursa De Valori Bucuresti S A,Equity,ROBSE,Market : REGS,"8,049,246",8/6/2010
XBSE,CAB,ROK3B954ZRB9,RON,Gocab Software SA,Equity,ROBSE,Market : XRS1,"84,747,350",9/12/2021
XBSE,CACU,ROCACUACNOR8,RON,Sifi CJ Logistic SA,Equity,ROBSE,Market : XRS1,"985,733",1/13/1997
