Sl no.,Currency,Counter Currency,Quotation Source,Quotation Date,Pair Code,Rate
1,RON,EUR,ECB,12/30/2022,EUR/RON,4.9495
2,RON,EUR,ECB,1/2/2023,EUR/RON,4.94
3,RON,EUR,ECB,1/3/2023,EUR/RON,4.931
4,RON,EUR,ECB,1/4/2023,EUR/RON,4.9264
5,RON,EUR,ECB,1/5/2023,EUR/RON,4.9235
6,RON,EUR,ECB,1/6/2023,EUR/RON,4.9296
7,RON,EUR,ECB,1/9/2023,EUR/RON,4.9253
8,RON,EUR,ECB,1/10/2023,EUR/RON,4.9338
9,RON,EUR,ECB,1/11/2023,EUR/RON,4.9335
10,RON,EUR,ECB,1/12/2023,EUR/RON,4.944
11,RON,EUR,ECB,1/13/2023,EUR/RON,4.9423
12,RON,EUR,ECB,1/16/2023,EUR/RON,4.9313
13,RON,EUR,ECB,1/17/2023,EUR/RON,4.9356
14,RON,EUR,ECB,1/18/2023,EUR/RON,4.9388
15,RON,EUR,ECB,1/19/2023,EUR/RON,4.9265
16,RON,EUR,ECB,1/20/2023,EUR/RON,4.9258
17,RON,EUR,ECB,1/23/2023,EUR/RON,4.9202
18,RON,EUR,ECB,1/24/2023,EUR/RON,4.9171
19,RON,EUR,ECB,1/25/2023,EUR/RON,4.9035
20,RON,EUR,ECB,1/26/2023,EUR/RON,4.8818
21,RON,EUR,ECB,1/27/2023,EUR/RON,4.8965
22,RON,EUR,ECB,1/30/2023,EUR/RON,4.9055
23,RON,EUR,ECB,1/31/2023,EUR/RON,4.921
24,RON,EUR,ECB,2/1/2023,EUR/RON,4.9117
25,RON,EUR,ECB,2/2/2023,EUR/RON,4.9025
26,RON,EUR,ECB,2/3/2023,EUR/RON,4.902
27,RON,EUR,ECB,2/6/2023,EUR/RON,4.9055
28,RON,EUR,ECB,2/7/2023,EUR/RON,4.902
29,RON,EUR,ECB,2/8/2023,EUR/RON,4.8975
30,RON,EUR,ECB,2/9/2023,EUR/RON,4.8935
31,RON,EUR,ECB,2/10/2023,EUR/RON,4.902
32,RON,EUR,ECB,2/13/2023,EUR/RON,4.9031
33,RON,EUR,ECB,2/14/2023,EUR/RON,4.901
34,RON,EUR,ECB,2/15/2023,EUR/RON,4.9008
35,RON,EUR,ECB,2/16/2023,EUR/RON,4.9009
36,RON,EUR,ECB,2/17/2023,EUR/RON,4.9165
37,RON,EUR,ECB,2/20/2023,EUR/RON,4.918
38,RON,EUR,ECB,2/21/2023,EUR/RON,4.9188
39,RON,EUR,ECB,2/22/2023,EUR/RON,4.9238
40,RON,EUR,ECB,2/23/2023,EUR/RON,4.9146
41,RON,EUR,ECB,2/24/2023,EUR/RON,4.9195
42,RON,EUR,ECB,2/27/2023,EUR/RON,4.9198
43,RON,EUR,ECB,2/28/2023,EUR/RON,4.92
44,RON,EUR,ECB,3/1/2023,EUR/RON,4.9174
45,RON,EUR,ECB,3/2/2023,EUR/RON,4.9223
46,RON,EUR,ECB,3/3/2023,EUR/RON,4.9235
47,RON,EUR,ECB,3/6/2023,EUR/RON,4.9205
48,RON,EUR,ECB,3/7/2023,EUR/RON,4.9178
49,RON,EUR,ECB,3/8/2023,EUR/RON,4.9113
50,RON,EUR,ECB,3/9/2023,EUR/RON,4.915
51,RON,EUR,ECB,3/10/2023,EUR/RON,4.9143
52,RON,EUR,ECB,3/13/2023,EUR/RON,4.9168
53,RON,EUR,ECB,3/14/2023,EUR/RON,4.9218
54,RON,EUR,ECB,3/15/2023,EUR/RON,4.9218
55,RON,EUR,ECB,3/16/2023,EUR/RON,4.9215
56,RON,EUR,ECB,3/17/2023,EUR/RON,4.9208
57,RON,EUR,ECB,3/20/2023,EUR/RON,4.9233
58,RON,EUR,ECB,3/21/2023,EUR/RON,4.9225
59,RON,EUR,ECB,3/22/2023,EUR/RON,4.9215
60,RON,EUR,ECB,3/23/2023,EUR/RON,4.9228
61,RON,EUR,ECB,3/24/2023,EUR/RON,4.9305
62,RON,EUR,ECB,3/27/2023,EUR/RON,4.9405
63,RON,EUR,ECB,3/28/2023,EUR/RON,4.9523
64,RON,EUR,ECB,3/29/2023,EUR/RON,4.95
65,RON,EUR,ECB,3/30/2023,EUR/RON,4.9483
66,RON,EUR,ECB,3/31/2023,EUR/RON,4.949
67,RON,EUR,ECB,4/3/2023,EUR/RON,4.9367
68,RON,EUR,ECB,4/4/2023,EUR/RON,4.933
69,RON,EUR,ECB,4/5/2023,EUR/RON,4.9314
70,RON,EUR,ECB,4/6/2023,EUR/RON,4.9369
71,RON,EUR,ECB,4/11/2023,EUR/RON,4.9375
72,RON,EUR,ECB,4/12/2023,EUR/RON,4.9385
73,RON,EUR,ECB,4/13/2023,EUR/RON,4.9435
74,RON,EUR,ECB,4/14/2023,EUR/RON,4.9423
75,RON,EUR,ECB,4/17/2023,EUR/RON,4.9425
76,RON,EUR,ECB,4/18/2023,EUR/RON,4.9357
77,RON,EUR,ECB,4/19/2023,EUR/RON,4.9321
78,RON,EUR,ECB,4/20/2023,EUR/RON,4.9308
79,RON,EUR,ECB,4/21/2023,EUR/RON,4.941
80,RON,EUR,ECB,4/24/2023,EUR/RON,4.9298
81,RON,EUR,ECB,4/25/2023,EUR/RON,4.937
82,RON,EUR,ECB,4/26/2023,EUR/RON,4.9391
83,RON,EUR,ECB,4/27/2023,EUR/RON,4.939
84,RON,EUR,ECB,4/28/2023,EUR/RON,4.9301
